id,nombre,apellido,año de nacimiento,planeta natal,fecha de registro,puntos de lealtad,ultima ubicación conocida
IMP-0001,Lysa,Andor,10041,Ryloth,10079-05-04,68,Bespin
IMP-0002,Tali,Walker,10058,Kuat,10058-03-05,52,Malastare
IMP-0003,Nara,Kade,10045,Hosnian Prime,10083-02-20,0,Tatooine
IMP-0004,Galen,Shard,10063,Hoth,10089-02-22,2,Naboo
IMP-0005,Juno,Morne,10031,Coruscant,10033-08-27,43,Scarif
IMP-0006,Sora,Zar,10047,Atollon,10082-01-13,55,Kashyyyk
IMP-0007,Beck,Doss,10045,Chandrila,10049-08-17,47,Bespin
IMP-0008,Nix,Skywalker,10049,Iego,10054-03-24,84,Geonosis
IMP-0009,Oren,Kade,10046,Geonosis,10050-07-03,73,Bespin
IMP-0010,Nyra,Rendar,10047,Coruscant,10074-11-12,79,Kuat
IMP-0011,Ryn,Grell,10058,Corellia,10058-11-10,92,Hoth
IMP-0012,Keel,Salomon,10053,Sullust,10054-03-18,96,Jedha
IMP-0013,Kael,Kestis,10043,Ryloth,10082-04-01,87,Corellia
IMP-0014,Sera,Morne,10059,Jedha,10059-02-20,45,Kashyyyk
IMP-0015,Aila,Ordo,10057,Tatooine,10057-09-13,88,Sullust
IMP-0016,Ryn,Rendar,10039,Yavin 4,10041-08-02,53,Lothal
IMP-0017,Daro,Rendar,10048,Cato Neimoidia,10049-07-03,47,Naboo
IMP-0018,Nara,Ordo,10030,Kashyyyk,10035-01-25,68,Bespin
IMP-0019,Ria,Terik,10057,Sullust,10059-07-12,43,Kashyyyk
IMP-0020,Sora,Ren,10049,Alderaan,10053-07-14,58,Naboo
IMP-0021,Tara,Dray,10043,Cato Neimoidia,10048-12-24,58,Geonosis
IMP-0022,Voss,Rendar,10052,Kashyyyk,10087-09-17,43,Naboo
IMP-0023,Nix,Syndulla,10047,Kuat,10049-04-19,54,Tatooine
IMP-0024,Nix,Kaid,10055,Coruscant,10090-05-13,10,Dantooine
IMP-0025,Tycho,Rauk,10069,Sullust,10094-04-09,10,Hosnian Prime
IMP-0026,Vex,Storm,10053,Geonosis,10082-09-05,93,Ryloth
IMP-0027,Ryn,Rendar,10058,Bespin,10062-08-11,64,Mustafar
IMP-0028,Zane,Kyne,10068,Kuat,10072-10-16,15,Jedha
IMP-0029,Lysa,Fenn,10064,Chandrila,10066-11-28,55,Kuat
IMP-0030,Vera,Shard,10044,Florrum,10045-03-13,48,Bespin
IMP-0031,Nix,Sunrider,10057,Kuat,10058-09-13,37,Raxus Secundus
IMP-0032,Mira,Omiir,10064,Bespin,10068-06-02,75,Coruscant
IMP-0033,Finn,Korr,10044,Geonosis,10079-04-21,56,Kessel
IMP-0034,Kade,Mox,10056,Coruscant,10061-08-17,63,Scarif
IMP-0035,Lysa,Tyne,10061,Naboo,10099-11-16,68,Yavin 4
IMP-0036,Korin,Zar,10056,Atollon,10057-06-28,76,Mustafar
IMP-0037,Korin,Vos,10040,Mon Cala,10044-05-23,41,Coruscant
IMP-0038,Finn,Adana,10052,Corellia,10052-05-10,45,Alderaan
IMP-0039,Voss,Kestis,10059,Hosnian Prime,10062-11-06,34,Alderaan
IMP-0040,Sora,Kade,10041,Geonosis,10045-04-10,58,Corellia
IMP-0041,Juno,Wex,10047,Kashyyyk,10086-10-18,74,Mon Cala
IMP-0042,Sora,Viz,10049,Hoth,10052-07-26,7,Iego
IMP-0043,Kade,Morne,10060,Dantooine,10063-09-12,17,Geonosis
IMP-0044,Tycho,Skara,10044,Tatooine,10044-04-07,3,Hosnian Prime
IMP-0045,Jax,Bane,10047,Mustafar,10051-01-02,89,Bespin
IMP-0046,Juno,Tyne,10041,Kuat,10043-11-21,65,Mustafar
IMP-0047,Tara,Fenn,10067,Hosnian Prime,10070-04-14,84,Kashyyyk
IMP-0048,Voss,Vale,10051,Lothal,10054-02-16,17,Scarif
IMP-0049,Rook,Syndulla,10059,Mandalore,10098-06-18,56,Coruscant
IMP-0050,Sora,Dray,10040,Raxus Secundus,10041-07-02,96,Lothal
IMP-0051,Rex,Quell,10047,Cato Neimoidia,10052-02-25,49,Malastare
IMP-0052,Sana,Salomon,10058,Coruscant,10098-03-28,100,Naboo
IMP-0053,Aila,Kerr,10053,Bespin,10082-04-15,84,Hosnian Prime
IMP-0054,Ryn,Tano,10047,Coruscant,10075-08-23,85,Yavin 4
IMP-0055,Korin,Dray,10056,Florrum,10057-04-08,85,Kuat
IMP-0056,Kira,Ordo,10070,Bespin,10072-06-22,100,Kuat
IMP-0057,Keel,Tano,10050,Malastare,10077-02-08,56,Mustafar
IMP-0058,Tali,Voss,10050,Kashyyyk,10054-11-28,53,Coruscant
IMP-0059,Tali,Andor,10053,Atollon,10054-07-02,44,Dantooine
IMP-0060,Galen,Voss,10037,Kessel,10041-01-21,48,Tatooine
IMP-0061,Sana,Solo,10044,Kashyyyk,10044-12-20,51,Dantooine
IMP-0062,Nero,Jarrus,10054,Chandrila,10090-07-25,83,Kessel
IMP-0063,Tali,Grell,10039,Dantooine,10064-05-24,86,Cato Neimoidia
IMP-0064,Dax,Salomon,10047,Mandalore,10047-03-23,34,Raxus Secundus
IMP-0065,Mira,Viz,10048,Mon Cala,10050-06-05,51,Bespin
IMP-0066,Nira,Sunrider,10046,Kashyyyk,10050-02-22,62,Iego
