usuario,nombre,region,saldo
rmunoz,Rosa Munoz,Norte,12500
tperez,Tomas Perez,Centro,16000
crojas,Camila Rojas,Sur,58500
ddiaz,Diego Diaz,Insular,13000
vsoto,Valentina Soto,Centro,28000
mcontreras,Matias Contreras,Centro,10500
jsilva,Josefa Silva,Norte,25500
bmartinez,Benjamin Martinez,Insular,18000
asepulveda,Antonia Sepulveda,Insular,39500
vmorales,Vicente Morales,Centro,60000
irodriguez,Isidora Rodriguez,Sur,44000
llopez,Lucas Lopez,Sur,46500
mfuentes,Martina Fuentes,Norte,48000
jhernandez,Joaquin Hernandez,Centro,52500
ftorres,Florencia Torres,Norte,32000
garaya,Gabriel Araya,Centro,27500
eflores,Emilia Flores,Sur,40000
mespinoza,Maximiliano Espinoza,Insular,42000
rvalenzuela,Renata Valenzuela,Insular,40000
acastillo,Agustin Castillo,Centro,50500
ctapia,Catalina Tapia,Insular,25500
breyes,Bruno Reyes,Centro,58500
fgutierrez,Fernanda Gutierrez,Norte,17000
icastro,Ignacio Castro,Sur,49500
pvargas,Paz Vargas,Centro,34000
