id_astronauta,nombre,estado
1,Maria Bush,Activo
2,Christopher Stephens,Activo
3,Elizabeth Russell,Activo
4,Heather Banks,Activo
5,Christopher Mendoza,Jubilado
6,Bobby Jordan,Activo
7,Robert Brown,Activo
8,Lance Hudson,Activo
9,Laura Oconnell,Vacaciones
10,Jonathan Jones,Jubilado
11,Kimberly Sheppard,Jubilado
12,Joshua Adams,Activo
13,Timothy Hall,Activo
14,Jamie Nelson,Activo
15,Michelle Baker,Activo
16,Cynthia Brown,Jubilado
17,Kenneth Mejia,Jubilado
18,Caitlyn Long,Vacaciones
19,Madison Saunders,Activo
20,Robert Jackson,Activo
21,John Lucas,Activo
22,Katelyn White,Activo
23,Kara Smith,Activo
24,James Oconnor,Vacaciones
25,Vanessa Bradley,Activo
26,Scott Marsh,Activo
27,Dawn Cuevas,Jubilado
28,Maria Young,Vacaciones
29,Brianna Vaughn,Activo
30,Rebekah Lewis,Activo
31,Sarah Cowan,Activo
32,Tiffany Robinson,Activo
33,David Alvarez,Activo
34,Steven Bass,Activo
35,David Taylor,Vacaciones
36,Don Edwards,Activo
37,Amy Hansen,Activo
38,Daisy Chen,Activo
39,Steven Mason,Activo
40,Thomas Palmer,Activo
41,Cody Rodriguez,Activo
42,Alexander Delacruz,Activo
43,Sara Olson,Activo
44,Dwayne Taylor,Activo
45,Eric Gordon,Vacaciones
46,Joseph Jimenez,Jubilado
47,Kenneth Bullock,Activo
48,Kimberly Wright,Activo
49,Cynthia Charles,Activo
50,Cory Osborne,Activo
51,Douglas Terry,Activo
52,James Herman,Activo
53,Wendy Hansen,Activo
54,Kevin Ortiz,Activo
55,Deborah Serrano,Jubilado
56,Diana Deleon,Activo
57,Rebecca Black,Activo
58,John Friedman,Activo
59,Emma Wong,Activo
60,Nathan Aguilar,Activo
61,Devon Miller,Activo
62,Jeffrey Coleman,Jubilado
63,Michael Smith,Activo
64,Duane Thompson,Jubilado
65,Tiffany Ruiz,Activo
66,Ryan Todd,Vacaciones
67,Tammy Jones,Activo
68,Debra Rasmussen,Activo
69,Stephen Moon,Vacaciones
70,Stephen Wagner,Jubilado
71,Julie Krause,Vacaciones
72,Corey Chen,Activo
73,Dawn Parks,Activo
74,Jacob Mendez,Jubilado
75,Kathleen Arias,Activo
76,Amanda Mendez,Vacaciones
77,David Nichols,Activo
78,Michael Russell,Activo
79,Kristen Watkins,Jubilado
80,Kathryn Patel,Activo
81,Chase Edwards,Activo
82,Corey Schwartz,Vacaciones
83,Christopher Pena,Activo
84,Elijah Gonzalez,Jubilado
85,Kathy Smith,Vacaciones
86,Cassie Green,Activo
87,Kyle Hawkins,Activo
88,Zachary Ross,Vacaciones
89,Robert Hunt,Activo
90,Larry Wells,Vacaciones
91,Andrew Yates,Activo
92,Michelle Brown,Vacaciones
93,Grant Fox,Vacaciones
