id_astronauta,nombre,estado
1,Adam Bryan,Activo
2,Jacob Lee,Vacaciones
3,Candice Martinez,Activo
4,Justin Thompson,Activo
5,Heather Rubio,Jubilado
6,William Jenkins,Activo
7,Brittany Ball,Activo
8,Glenn Johnson,Activo
9,Walter Irwin,Activo
10,April Bentley,Activo
11,Patricia White,Activo
12,Jason Mcclure,Activo
13,Nancy Hall,Activo
14,Michelle Summers,Activo
15,Crystal Marks,Activo
16,Robert Peters,Jubilado
17,Kevin Holmes,Jubilado
18,Amanda Martin,Activo
19,Dr. Brittany Perez,Activo
20,Brooke Morris,Activo
21,Michael Miller,Vacaciones
22,Tammie Mccormick PhD,Activo
23,Michael Juarez,Activo
24,Mr. Mark Nguyen,Activo
25,Jennifer Cisneros,Activo
26,Randy Hale,Activo
27,Angela Martin,Activo
28,Crystal Martin,Activo
29,Joshua Stone,Activo
30,Aaron Crawford,Jubilado
31,Lawrence Lindsey,Activo
32,Jonathan Sullivan,Activo
33,Tina Butler,Activo
34,Shawn Johnson,Vacaciones
35,James Thompson,Activo
36,Kelly Wright,Activo
37,Michael Nguyen,Activo
38,Joe Lee,Activo
39,Christina Taylor,Activo
40,Erin Carter,Activo
41,Melissa Lambert,Activo
42,Debbie Simmons,Activo
43,Jose Andrews,Activo
44,Andrea Watson,Activo
45,Amanda Francis,Activo
46,Jennifer Cole,Activo
47,Omar Castillo,Activo
48,Allen Reed,Activo
49,Megan Garrett,Activo
50,Amanda Morrison,Activo
51,James White,Vacaciones
52,Steven Swanson,Activo
53,Angela Turner,Activo
54,Amanda Lopez,Activo
55,Robert Hall,Activo
56,Adam Wilson,Activo
57,Raven Peterson,Activo
58,Andrew Garcia,Activo
59,Daniel Hudson,Activo
60,William Mitchell,Activo
61,Anna Rose,Vacaciones
62,Mary Ortiz,Activo
63,Paula Hernandez,Activo
64,Leah Harrington,Vacaciones
65,Jason Johnson,Vacaciones
66,Shawna Gomez,Activo
67,Mary Smith,Activo
68,Angel Edwards,Jubilado
69,Beth Cunningham,Activo
70,Brian Farley,Activo
71,Christopher Bentley,Activo
72,Daniel Davis,Activo
73,Mr. Daniel Walker DDS,Vacaciones
74,Kevin Allen,Activo
75,Wanda Bradshaw DVM,Vacaciones
76,Tara Bowman,Vacaciones
77,Nicholas Sweeney,Jubilado
78,Cory Mueller,Activo
79,Kristina Martinez,Vacaciones
80,David Hooper,Activo
81,Jacob Barker,Vacaciones
82,Kristina Curtis,Activo
83,Suzanne Rodriguez,Vacaciones
84,Thomas Kent,Vacaciones
85,James Cohen,Activo
86,Brian Wright,Vacaciones
87,Keith Jackson,Activo
88,Tracy Cruz,Activo
89,Makayla Yates,Activo
90,Kelli Le,Activo
91,Todd Roach,Activo
92,Christina Garrett,Activo
93,James Lewis,Jubilado
94,Danielle Davis,Activo
95,Danielle Castro,Activo
96,Justin Mccormick,Activo
97,Erin Anderson,Jubilado
98,Elizabeth Mitchell,Vacaciones
99,James Fleming,Jubilado
100,Matthew Luna,Vacaciones
101,Laura Mooney,Activo
102,Kimberly Barrett,Activo
103,Mia Rangel,Activo
104,Javier Warner,Activo
105,Sandra Adams,Activo
106,Jason Long,Activo
107,James Day,Activo
108,Crystal Oliver,Activo
109,Brittney Smith,Activo
110,Michael Gentry,Activo
111,Eric Burton,Activo
112,Andrew Sanchez,Vacaciones
113,Judith Reed,Vacaciones
114,Chad Saunders,Activo
115,Michael Bradley,Vacaciones
116,Rebecca Anderson,Activo
117,Adam Fischer,Activo
118,William Perez,Activo
119,Katherine Wilcox,Activo
120,Sierra Flores,Vacaciones
